"﻿Customer Name","Customer Country","Description of the Customer's AI Use Case(s)","Opportunity Size V2",Status,Maturity,"Importance Classification","Priority - CoE Priotization","AI CoE Lead","AI Co-Prime",Specialist,"Opportunity ID",Region,"Slack Channel",Date,"Submitter Slack Email",Submitter,Comments,Proposal,Canvas,Partner,"Last communication"
"Europ Assistance",Spain,"Customer is interested in GPU use cases that applies for insurance sector. All of them related to AI/ML","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A864K4,South,,"March 24th, 2025 at 11:20 AM UTC",U037M0R4H47,alberto.garcia.martinez@oracle.com,,,,,
NUPCO,"Saudi Arabia","this is a similar requirement to Saudi Rail.

ABOUT

NUPCO (The National Unified Procurement Company) was established in 2009, with 1.5 billion SAR as capital. It is the leading company in Saudi Arabia in procurement, logistics and supply chain management for pharmaceutical, medical devices and supplies for governmental hospitals in Saudi Arabia.

NUPCO is fully owned by the Public Investment Fund and was founded to achieve two main objectives which are achieving cost spending efficiency and improving the level of healthcare services providers to the governmental hospitals.
NUPCO Started with 20 billion SAR yearly, mainly for purchasing supplementary medication and medical devices for the MOH, National Gard, MOI, university hospitals and specialized hospitals.

OPPORTUNITY
Customer wants to explore on Analytics and AI offering by Oracle. They are requesting to have a PoC in their tenancy for an AI use case that can be discussed and agreed upon in the upcoming session.
The customer has not identified any use case and is at the early stages of adopting AI in their enterprise.
At a higher level we did discuss on a quick win strategy of deploying a knowledge base where can extract the data from existing data source hosted on OCI and train it on the GenAI LLM and interact via virtual assistant.
-	The main objective from the customer is to have a AI use-case with business value that can be deployed on their tenancy so they can decide the required sizing in the coming renewal after 3 months.

Opportunity ID A879TN, Initial Size: 500K$",<=$500K,Active,Discovery,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",mahmoud.soubra@oracle.com,,A879TN,MEA,C08QQUCL3T8,"March 24th, 2025 at 12:05 PM UTC",U07UKNN069Y,mahmoud.soubra@oracle.com,,,,,
"National Infrastrucutre Fund","Saudi Arabia","NIF wants to see use cases related to funding activities and in agentic AI type of solution",<=$500K,Paused,,"Tier 1 - Incoming Engagement",,aseel.addawood@oracle.com,,,A87MZD,MEA,C08MMFBKE23,"March 24th, 2025 at 1:55 PM UTC",U08521J1272,osama.alhaj-issa@oracle.com,,,,,
"MSG Group",Germany,"MSG Group, an ISV, from Germany focuses on offering IT services to their end customers - https://www.msg.group/en/about-msg. 

They are mainly on AWS and Azure and using AI services to service their customers. They are facing some challenges and limitations with token and character limitations. Interested in Meta/Cohere models. Would like to have a deep dive session into the following 3 areas
- Gen AI including Agentic AI services from Oracle
- ML services with possibility to fine tune custom models (e.g. from huggingface)
- Oracle Digital Assistant 

Still waiting on opportunity to be created for this.",<=$500K,Paused,Solutioning,"Tier 1 - Incoming Engagement","SMB & ISV",cristina.lemnaru@oracle.com,,,"To be added",West,C08K4EPC2KV,"March 24th, 2025 at 1:50 PM UTC",U07MR3KRHAM,rishi.karan@oracle.com,,,,,
Equinor,Norway,"We have a onsite meeting on March 25th with the Equinor (leading Utility and Energy provider in Norway) Enterprise Architecture Leadership to brief them on our AI strategy. We need support with 3 presentations (can be given virtually) on 
- OCI Generative AI Agents
- OCI AI Compute Infrastructure
- OCI Datascience",<=$500K,Paused,Discovery,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,juergen.h.wirtgen@oracle.com,,tbd,North,C08JNN3B5M2,"March 18th, 2025 at 8:56 AM UTC",U0802REKV0B,juergen.h.wirtgen@oracle.com,,,,,
"Max Hamburger",Sweden,"Max Hamburgers have recently decided to go all in on Azure. From us they are using Food and beverage SaaS and also OCI for their JDE implementation. We have talked to Oscar Bjöhrn who is the head of Data and AI.
 
The have a challenge in that they want to have an automatic order put into the system when their customers use the drive in and place their order through speech to text in realtime. They have tried a couple of solutions but find it difficult both with different language (primarily Swedish,English and Polish) and dialects and accents.
 
At this stage I think we need someone who know the capabilities in this area and discuss it with the Customer.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A,North,,"March 17th, 2025 at 5:59 PM UTC",U07FZ0XNDFH,daniel.j.johansson@oracle.com,,,,,
Tamwilcom,Morocco,"Tamwilcom is in FSI sector.
They have run a genAI use case in which they provide credit risk asssesment document to LLM's with an example of the desired output and new documents.
They have run such use cases around GPT, and deepseek and want to test on OCI gen.AI service. 
We will provide trial account and need help to support the client on this.","<= $100K",Active,,"Tier 1 - Incoming Engagement",,"cristina.lemnaru@oracle.com, abdelali.zahi@oracle.com",taha.benssiba@oracle.com,,A869N9,MEA,C08H6TY4B1C,"March 12th, 2025 at 2:25 PM UTC",U07FRF7D3RT,hicham.benbella@oracle.com,,,,,
"Schremp EDV",Germany,"Customer wants to integrate AI Services in their enduser application and is looking for our support in terms of the overall architecture","<= $100K",Paused,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A84M9G,SMB,,"March 13th, 2025 at 3:12 PM UTC",WHY7WH06N,jan.thomas.kettner@oracle.com,,,,,
"Royal Air Maroc",Morocco,"RAM is main airline in Morocco.
They want to demo working airline use cases chatbot based on LLM.
Need help with identifying the demo
Thank you!","<= $100K",Paused,Discovery,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,taha.benssiba@oracle.com,,A7LSZ4,MEA,C08HFDQ58G3,"March 12th, 2025 at 2:28 PM UTC",U07FRF7D3RT,hicham.benbella@oracle.com,,,,,
Next,UK,"Customer would like a GenAI HR reporting tool that will provide instant answers to adhoc queries",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A7H43P,MEA,C08CADYHH6W,"March 12th, 2025 at 3:20 PM UTC",U022B6W7H2T,ade.adamo@oracle.com,,,,,
EmbedIT,Czechia,"Customer currently trains / tune two models

- 7 Billion parameters 
- 50 Billion parameters
- Both are single modality pure LLM (text)
- they are using Mistral on AWS
- GPU shape: 4x 8x A100 40GB = 32x A100

---
Current spend
---
Total training time - 7B Mistral:
- 4x 8x A100 40GB = 32x A100
- 3.5 days of training = 84 hours
- 32 × 84 = 2,688 GPU hours

Hyper-parameter tuning:
~5 runs using various hyper-parameter setting
Each ran approximately 10% of total training time
5*0.1*2688= 1344 GPU hours
 
50B Model:
- It is 7 times more (it has 7 time more parameters)",<=$500K,Active,,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A86R4H,North,C08J6ELALNA,"March 12th, 2025 at 3:18 PM UTC",WBPGH68HE,jiri.kram@oracle.com,,,,,
ADPIC,UAE,"looking to show Analytical Avatar for Urban planning system- Working with Mohammed Hafeez from CoE team",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,"will be added",MEA,,"March 13th, 2025 at 6:18 AM UTC",U03S03VS66S,waleed.abu.sirhan@oracle.com,,,,,
ADIB,UAE,"GenAI for Fusion use cases. please if this can be assigned to Mohammad Hafeez",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A75KV6,MEA,,"March 13th, 2025 at 7:13 AM UTC",WBR2FUEP9,muhannad.malkawi@oracle.com,,,,,
EuroHPC,"Luxemburg / Finland","LUMI CSC (Part of the EuroHPC consortium) is planning to issue roughly 600 MEUR RFP during May 2025 for next generation AI supercomputer in Finland. Still need to confirmed that we could engage as a cloudprovider - need to have cloud at customer.",$5M+,Inactive,Discovery,"Tier 1 - Incoming Engagement",GPU,pankaj.b.sharma@oracle.com,juergen.h.wirtgen@oracle.com,wajahat.aziz@oracle.com,tbd,West,C08JHSEHXT2,"March 13th, 2025 at 8:50 AM UTC",U0802REKV0B,juergen.h.wirtgen@oracle.com,,,,,
Pearson,UK,"Customer is keen to review AI for EBS and HCM. Has had strategy session and overview, needs demo and then support on AI sandpit and beyond. Have engaged with Pankaj who has capacity to support this opportunity. Opty is around $200k",<=$500K,Complete,"Won Deal","Tier 3 - Strategic Engagement","Named Accounts",pankaj.b.sharma@oracle.com,adrian.james@oracle.com,martijn.de.grunt@oracle.com,A86CZL,West,C08NDT98H33,"March 13th, 2025 at 12:46 PM UTC",WBR9HFK7Y,alexis.austin@oracle.com,"Won Deal - 30/06/2025",,,,
Pearson,"United Kingdom","Need to demo the sandbox","<= $100K",Inactive,,,,pankaj.b.sharma@oracle.com,,,A86D5C,West,C08NDT98H33,"March 13th, 2025 at 3:57 PM UTC",U01D5KMJNR5,adrian.james@oracle.com,"Duplicate Opp",,,,
"Nilson Group AB",Sweden,"Nilson Group AB is a retailer selling shoes through 150 stores, as well as online. We had an AI Approach Workshop. During that we a number of use cases popped up. We recently had a follow up meeting with them, and they are curious about one of the uses cases namely: “Predict the best time to launch campaigns”
 
The process is quite manual now and they would like to do better automated predicted launch of campaigns with the help of AI.
 
They are already using ATP,ADW and OAC and should have most of the data to analyze already available in those systems.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A,North,C08JF4P4J2W,"March 17th, 2025 at 5:57 PM UTC",U07FZ0XNDFH,daniel.j.johansson@oracle.com,,,,,
VW,Germany,"We have several parallel discussions with VW about collaboration in AI & Data Science. Would like to bring CoE on board to facilitate further discussions with customer and go quickly into prototyping of solutions. Would be great to have support of Frank Riemer as customers meetings are usually in German language and might require onsite travel.",$5M+,Active,Qualification,"Tier 3 - Strategic Engagement",,"frank.riemer@oracle.com, sachin.lingadahalli.vittal@oracle.com",,,A6RJFN,North,C08HW299JH2,"March 14th, 2025 at 11:08 AM UTC",U085233E0G5,friedrich.stahl@oracle.com,"• Identified 4 Use Cases 
• Provided 20 pages repsose to next gen computing & Agentic AI with OCI",,,,
Powersoft,Italy,"The customer is interested in exploring potential AI use cases for JD Edwards (JDE) and understanding how technologies like Large Language Models (LLMs) can enhance various processes. Specifically, they are looking into AI-driven applications such the following examples:

JDE Billing and Order Processing using LLMs
Intelligent Document Search for retrieving relevant information
Natural Language Queries to the Database for improved data accessibility
AI-powered Technical Query Resolution and other similar applications

The customer would like to schedule a call to discuss these possibilities in detail, evaluate feasibility, and receive guidance on implementation strategies.","<= $100K",Paused,,"Tier 1 - Incoming Engagement",,saad.akbar@oracle.com,,,A86X5H,SMB,C08MQ69F1DZ,"March 14th, 2025 at 11:56 AM UTC",WBRJDLF1C,francesco.salerno@oracle.com,"awaiting meeting setup after Easter holidays",,,,
Comarch,Poland,"AI team from Comarch would like to discover Oracle offering","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,A7B97S,SMB,C08JLEK50LE,"March 14th, 2025 at 2:35 PM UTC",WBQSGMJR4,tomasz.tomaszewski@oracle.com,,,,,
"Transition Technologies S.A.",Poland,"video recognition","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A86FWS,SMB,,"March 14th, 2025 at 2:48 PM UTC",WBQSGMJR4,tomasz.tomaszewski@oracle.com,,,,,
"Capital Health","United Arab Emirates","Hi Team,

Hope all is well! Capital health is a fusion customer, and they called asking for a meeting to explore how they can further automate and enhance the fusion adoption among their users. 

They showed huge interest in the ODA HR capabilities, along with some Fusion AI related use cases, like invoices automation, etc. 

So they are kindly request having two meetings: 1. Deep dive session on the OCI ODA HR capabilities (submitting leaves, policy understanding, etc...) - highest priority, as they are interested in using it at the soonest 2. Fusion AI related use cases session (Invoices automation, etc..) 

Looking forward for your great support, thanks as always! My Regards, Karim","<= $100K",Paused,Discovery,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A86W4H,MEA,C08HYLN62J1,"March 17th, 2025 at 7:28 AM UTC",U03NL61PSP8,karim.hodeib@oracle.com,,,,,
"Go autonomous",Denmark,"AI agents for automation of the sales process, reducing manual task such as quotes and order handling. 

The customer has utilized GPUs for free but has now finalized their trial period. They are looking to continue using H100s for model training and are now comparing offerings from the major CSPs. Meeting booked together with their ML team where support from AI CoE would be highly appreciated.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,-,West,,"March 17th, 2025 at 8:05 AM UTC",U030CCJ4ZJ8,oscar.folkesson@oracle.com,,,,,
"Drax Group Plc","United Kingdom","Drax are starting out on their AI journey through this Innovation Tam and are evaluating AI partners to select a partner to work with for GPU's and Gen-AI. They are Critical national infrastucture and are therefore keen to understand how Oracle can support their secure data requirements and how we are different from other AI software vendors and hyperscalers to support this non-shared data model. Next meeting Meeting scheduled for 18th March. 
Proposed Agenda:
- Secure GPU capacity
- Drax requirement to not have a shared model - how is Oracle different from the other hyperscalers?
- Oracle GPU and Gen-AI offering – bare metal, data science platform, etc.
- How can Oracle help Drax scale their GPU and Gen-AI capability over the next few years","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A86G8H,West,,"March 17th, 2025 at 10:40 AM UTC",U07J64E6XGW,paul.wautier@oracle.com,,,,,
"Minister of Tourism",Morocco,"Hello, 

we need help in order to size the data science service needs on OCI - client has an interest in OCI for multiple workloads including ML.
They currently have 5 developers and we would like to include a sample environment in the cost case.

Thank you","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A7YSTX,MEA,,"March 17th, 2025 at 2:03 PM UTC",U07FRF7D3RT,hicham.benbella@oracle.com,,,,,
TAWUNIYA,"Saudi Arabia","TAWUNIYA’s Objective for the AI Platform

TAWUNIYA aims to implement a comprehensive AI platform that enables the seamless deployment and management of intelligent solutions across the organization. The core objective is to support high-impact use cases such as virtual assistants, document summarization, and fraud detection by leveraging advanced generative AI and machine learning capabilities. The platform must integrate smoothly with existing enterprise systems—such as HR platforms and proprietary data sources—to enable contextual training of large language models (LLMs) and deliver real-time insights through data streaming and integration tools. Key functionalities include support for uploading and interacting with documents, building chat-based AI agents for client profiling and risk analysis, and utilizing pre-built models and pipelines to accelerate AI adoption while ensuring operational scalability and maintainability.",<=$500K,Active,Discovery,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",mahmoud.soubra@oracle.com,,A7VD7V,MEA,C08R39TTM5L,"April 23rd, 2025 at 5:23 PM UTC",U07UKNN069Y,mahmoud.soubra@oracle.com,,,,,
"Czech National Police",Czechia,"We will have chance to present to leadership of Czech National Police force Oracle AI vision and products.

Ask
 
1. What are Oracle AI offerings specifically for Police forces?

2. Can we use some reference what Oracle AI products are used by Police forces in other countries? (UK, UAE, Saudi, US...?)

3. Are there any partners with specialised Oracle AI solutions that Police forces in other countries are using?

Who can help Yakov and me to prepare for this meeting?",<=$500K,,,"Tier 1 - Incoming Engagement",,,,,A89L2H,North,,"April 24th, 2025 at 1:49 PM UTC",WBPGH68HE,jiri.kram@oracle.com,,,,,
BCR,Romania,"Need to organize an onsite AI workshop for approx. 2 hours. Focus needs to be on Oracle AI services & infrastructure, including C3+GPU in the banking context. Google is the preferred AI vendor for the parent company Erste. Please assign Cristina Lemnaru.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A73NW3,North,,"February 26th, 2025 at 11:04 AM UTC",WBASC53DG,roxana.i.chiriacescu@oracle.com,,,,,
"United Bank for Africa (UBA)",Nigeria,"RFP for a GenAI Knowledge Management System & Idea to
Implementation Program for UBA Group

United Bank for Africa (UBA) invites proposals from qualified vendors for thedeployment of an:
1. AI-powered Knowledge Management System.
2. The implementation of a structured “Idea to Implementation” program.
These initiatives are aimed at empowering UBA’s frontline staff and Relationship Managers with instant access to accurate product/process knowledge and at institutionalising a system to capture, evaluate, and implement ideas from staff into operational improvements.",<=$500K,,,"Tier 1 - Incoming Engagement",,,,,A8GQ52,MEA,,"June 22nd, 2025 at 4:40 PM UTC",U07VDQXULH4,ademola.ojediran@oracle.com,,,,,
"ALBA - Bahrian Aluminum",Manufactoring,"The customer is running SAP ERP , anyhow we are looking to propose some AI related use cases such as Minimize asset downtime and repair costs using predictive maintenance , also Reduce scrap and enhance product quality  in addition to optimizing real time operational monitoring to improve visibility and energy efficiency , and any other AI powered use cases that can be proposed as the customer is willing to hear more","<= $100K",,,"Tier 1 - Incoming Engagement",,,,,"Business Development Stage",MEA,,"June 17th, 2025 at 12:13 PM UTC",WBPQ4NW68,ayman.alyousef@oracle.com,,,,,
"Neura Robotics",Germany,"Support for AI robotics used case, as discussed with @friemer",<=$500K,Paused,Qualification,"Tier 2 - Advanced Engagements",,frank.riemer@oracle.com,,,tbd,North,,"June 17th, 2025 at 1:15 PM UTC",WBPPT748L,dirk.klaassen@oracle.com,,,,,
"Alrajhi Bank","Saudi Arabia","Alrajhi Bank is one of our top clients in Saudi is interested in having an overview session of our AI offering including IaaS and PaaS especially Gen AI capabilities.
During this session we will gather more information from the client in order to prepare the next dedicated session for the product of interest.","<= $100K",,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,N/A,MEA,,"June 18th, 2025 at 12:28 PM UTC",WBPBX3DEF,alaa.obeidat@oracle.com,,,,,
"Vedrai S.P.A",Italy,"We are working with a customer who is deploying their own generative AI models on AWS Bedrock (https://aws.amazon.com/bedrock/). They are currently leveraging two Bedrock services and using serverless architecture for token generation.
Key considerations:
- Bedrock performance scales better in the U.S. compared to Europe, but they require deployment in specific regions due to GDPR compliance.
- The customer handles sensitive private company data and mandates that all data traffic must route to a specific endpoint.
- AWS Bedrock guarantees data ownership and privacy, which is a crucial requirement.

They need support for using various open-source models including Meta’s LLaMA, DeepSeek, and others.

We are looking for an AI specialist to:

- Deliver a presentation on Generative AI capabilities, especially in the context of AWS Bedrock.
- Provide guidance on architectural options on OCI appropriate for their workload.
- Help assess cost implications and scalability considerations across different regions.

Please let us know if someone with the right expertise is available to assist. We’d be happy to coordinate a session based on your availability.","<= $100K",Complete,"Lost Deal","Tier 1 - Incoming Engagement","SMB & ISV",sofia.pascual.armstrong@oracle.com,,,A89HK5,SMB,C0926MU6PUM,"June 19th, 2025 at 9:27 AM UTC",U01P75L704Q,marco.stoppa@oracle.com,,,,,
"American University of Beirut (AUB)",Lebanon,"AUB is interested in the AI use cases for the E-Business Suite including the AskData solution. The customer is requesting a general presentation of AI and related EBS use cases and a demonstration of one example. This activity may lead to a new workload on top of the existing cloud subscription.","<= $100K",,,"Tier 1 - Incoming Engagement",,,,,N/A,MEA,,"June 19th, 2025 at 11:25 AM UTC",WBPBCPB27,oussama.cherkaoui@oracle.com,,,,,
"Family Bank",Kenya,"This has been discussed with Jomon Kunnel.
We have had discussions with the customer on Modernizing their DWH and AI. 
This is a request for an engagement with Family Bank on a deep dive on AI Services, Gen AI and AI infrastructure. We will begin with a workshop jointly delivered with the DB Platform team.
I need a specialist to cover: Gen AI, AI Services, Agents and AI infrastructure","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,nabila.bouhia@oracle.com,,,A8FXQS,MEA,C097XG01TPX,"June 19th, 2025 at 2:59 PM UTC",WBQ0BDPHQ,juliet.munyi@oracle.com,,,,,
"AI tool for Merz Pharmaceuticals",Germany,"Merz wish to partner with us to develop an AI tool that will accelerate the medical writing services we provide for them.","<= $100K",,,"Tier 1 - Incoming Engagement",,,,,TBD,West,,"June 19th, 2025 at 4:14 PM UTC",U06LSHB353Q,james.woolnough@oracle.com,,,,,
"Ministry of Information Technology, communication and Innovation",Mauritius,"Customer is considering changing their ODA which is running on aws, but not as solid, not being able to update on real time and with the new govt in place they want to really go e-services, asking questions, webscraping etc. Oracle has been asked to demo ODA next week monday. For context, opportunity to present/demo our ODA to website https://mitci.govmu.org/SitePages/Index.aspx","<= $100K",,,"Tier 1 - Incoming Engagement",,,,,A8GQHP,MEA,,"June 23rd, 2025 at 8:00 AM UTC",WBPRG9JFM,amit.juggurnath@oracle.com,,,,,
"Clemenceau Medical Center",Lebanon,"Customer is interested to navigate ODA capabilities and now is looking to navigate AI capabilities for Hospital/Clinics. Appreciate your support to deliver a live Demo for hospitals","<= $100K",,,"Tier 1 - Incoming Engagement",,,nabila.bouhia@oracle.com,,A8FRTF,SMB,C091RJTCJ3F,"June 17th, 2025 at 8:36 AM UTC",U03DHSLQLKW,radwa.younis@oracle.com,,,,,
"NatWest UK",UK,"As part of Oracle AI day with NatWest, I like to present leveraging Agentic AI with Oracle Fusion Applications and present usecases that can enhance automation, personalization, decision-making, and user productivity. To that order, I have few usecases in mind :

1. Autonomous Finance ERP Agent : AI agent monitors financials, identifies anomalies, predicts cash flow, and recommends actions. e.g. “Expense Optimization Agent"" automatically flags unusual spending, suggests reclassifications, and drafts journal entries for approval.

2. Smart HR Assistants for HCM : A virtual HR agent helps employees and managers navigate processes like performance reviews, PTO planning, or compensation changes. e.g. a “Career Path Agent” suggests internal roles, training, and mentors based on employee skills and business needs.

3. Procurement Automation Agent (SCM) : agent negotiates with suppliers, drafts contracts, and alerts for potential supply chain disruptions. e.g. Automatically adjust purchase orders based on vendor lead times, risk scores, or geopolitical issues.

4. Compliance & Risk Agents : Monitors compliance with policies and regulations across  SOX, GDPR, ESG reporting. e.g, ""ESG Compliance Agent” aggregates environmental impact data across supply chain and reports issues.

Are there any usecases/demos build around these ? I am happy to re-use them or work with you to brainstorm what more could be done.
 
This AI day will be attended some important and senior stakeholders from Finance IT and business users. I'll have participation from Fusion AI team in this session who will present embedded AI capabilities for Fusion - so anything which isn't embedded and where we can leverage Oracle GenAI and AI services >> happy to put forward any such usecases for our AI day with customer.",<=$500K,,,"Tier 1 - Incoming Engagement",,,,,xxxxx,West,,"June 23rd, 2025 at 3:41 PM UTC",W6Q0QSL4D,harshit.agarwal@oracle.com,,,,,
ADNOC,UAE,"The customer is seeking to explore the implementation of GenAI agents for internal IT administration to streamline and automate key operational tasks. The focus areas include:  

1. Service Requests: Automating the creation, routing, and resolution of IT service requests to improve efficiency and reduce response times.  
2. Patch Management: Enhancing patch deployment processes by identifying vulnerabilities, scheduling updates, and ensuring system stability post-patching.  
3. Table Space Management: Optimizing database table space usage through real-time monitoring, rebalancing, and automated reporting.  
4. License Compliance: Ensuring adherence to software licensing agreements by tracking usage, auditing installations, and managing renewals.  
5. Audit and Compliance: Automating compliance monitoring, log analysis, and reporting to meet internal and external regulatory standards.  
6. Code Assist: Providing developers with AI-driven code review, debugging, and documentation assistance to improve code quality and productivity.  

@azahi from the AI CoE is already engaged in the discussion, indicating active collaboration and alignment with ADNOC’s AI strategy. The customer is looking for a detailed roadmap, use case prioritization, and potential PoC for implementing GenAI agents in these areas.","<= $100K",Active,,"Tier 1 - Incoming Engagement",,abdelali.zahi@oracle.com,,,A8GRB6,MEA,C08CVBQJNLD,"June 24th, 2025 at 5:46 AM UTC",U022R2MSATS,isam.hagmusa@oracle.com,,,,,
Evoke/888,UK,"Please provide support for an ODA solution and RFP submission

William Hill & 888 used to use Digital Assistant as the frontend for CX RightNow (use cases attached). After the acquisition of William Hill by 888, the customer chose to standardise a lot of tech that was on the William Hill side, including LivePerson (another bot that the business used for broader use cases) - hence we lost the contract last FY.
 
This was classed as more of a political decision as the Customer Experience Team that dealt with ODA had no complaints.
 
LivePerson has consequently had many pain points, including multiple hour queue times to query the bot, notably during major sporting events (e.g. Cheltenham). Hence the customer decided they couldn’t take the risk in this happening further, especially during the 2026 Fifa WC.
 
The customer also has a major AI & Automation drive in their strategy, called ‘Operations 2.0 - leveraging advancements in AI and automation to enhance the company's efficiency, effectiveness, and scalability within its operations’.
 
As part of this, they want more innovation attached to the chatbot, hence all the required use cases centre around more tailored customer experience.",<=$500K,,,"Tier 1 - Incoming Engagement",,"mirjana.rakuljic@oracle.com, cristina.lemnaru@oracle.com",,,A8FWK9,West,C092REPLQCB,"June 24th, 2025 at 10:02 AM UTC",WSX7J7LHH,peter.deakin@oracle.com,,,,,
Novartis,Switzerland,"Novartis Security Team are looking for a 'AI Discovery Tool' that is able to scan the organization for any LLMs or AI services that are in use and then provide a risk assessment of that usage. Do we have such tools or know of any tools? Or how could we create such a tool?","<= $100K",,,"Tier 1 - Incoming Engagement",,,,,"not created yet.",South,,"June 24th, 2025 at 12:42 PM UTC",U0236QVREJF,mark.swain@oracle.com,,,,,
,,,,,,"Tier 1 - Incoming Engagement",,,,,,,,,,,,,,,
BEYON,Bahrain,"Enablement Session to BEYON team part of the Alloy GTM Engagement

Mohammed Hafeez and Kashif Manzour are already engaged with us for this Alloy enablement",$5M+,,,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, muhammad.k.manzoor@oracle.com",,,AH8JP,MEA,,"June 25th, 2025 at 11:52 AM UTC",U01HT8QDDP0,nizar.mahmoud@oracle.com,,,,,
TAP,Portugal,"TAP is the biggest airline company in Portugal.
We have a scheduled workshop with them to share Oracle AI strategy and services, and would also like to present them some AI use cases for airlines. Do we have such use cases?",<=$500K,,,"Tier 1 - Incoming Engagement",,,,,A75Y7R,MEA,,"June 25th, 2025 at 4:30 PM UTC",WBAAFNC7K,paulo.rodrigues@oracle.com,,,,,
ipv.com,UK,"IPV Curator is a software company doing video editing for clients like CNBC, BBC, etc.
I have 3 questions:
1) They use AWS Rekognition for face reco. I understand OCI vision could do that but not out of the box - please elaborate for me.
2) The use Azure Video Indexer - Do we offer an equivalent service? Can Nvidia NIMS offer an alternative? Do we have anything in roadmap?
3) The use Azure Video Content Understanding - Do we offer an equivalent service? Can Nvidia NIMS offer an alternative? Do we have anything in roadmap?

With thanks",<=$1M,Active,Unqualified,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A8D3NS,West,C092B7ZFSQ1,"June 17th, 2025 at 9:14 AM UTC",U05PFEA2R1S,guillaume.d.damagnez@oracle.com,,,,,
"Gulf Payment",KSA,"Customer showed an interest and wanted to have deeper discussion around some topics:
•        Oracle Digital Assistant Use Cases in Fintech
o   Exploring how Digital Assistant can enhance customer experience and automation in fintech scenarios.
•        Digital Assistant Integration with Reports, Dashboards, and Visualizations
o   Demonstrating how the assistant can provide natural language access to business intelligence and insights.
•        Oracle Database 23ai and Vector Search Use Cases for Fintech
o   Showcasing potential applications for advanced search and AI-native capabilities in financial services.","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,"cristina.lemnaru@oracle.com, deepak.kumar.polepalli@oracle.com",,,N/A,MEA,C091YGRQWFL,"June 15th, 2025 at 9:07 AM UTC",WG88V7MA5,manar.slik@oracle.com,,,,,
"silent hunt",netherlands,"they want a solution to Recognize pattern hand movements, and recognize the language, and catch the speak, an recognize","<= $100K",Inactive,Discovery,"Tier 1 - Incoming Engagement",,"frank.riemer@oracle.com, mirjana.rakuljic@oracle.com",,,TBD,West,C09300NCQJX,"June 26th, 2025 at 12:18 PM UTC",WQ45U1V33,raquel.fernandez.grau@oracle.com,,,,,
"Oman Telecom",Oman,"Customer is looking to have AI generated Strategy management solution to help automatically generate OKRs at corporate/units level by leveraging Strategy plans, Financial statements, Country Strategic Plan, previously developed OKRs. Customer is asking for a POC to use AI generate automatically the OKRs based on provided input.  I had Abdelai Zahi attending the initial call with customer and he is aware of the needed requirements.",<=$500K,,,"Tier 1 - Incoming Engagement",,,,,NA,MEA,,"June 11th, 2025 at 6:42 AM UTC",U0840PCCLSH,aysar.yousef@oracle.com,,,,,
Wallapop,Spain,"Wallapop is interested in the possibility of carrying out a PoC around AI (image classification, fraud detection, etc.), and we also want to propose some GenAI use cases that their competitors have already successfully implemented (virtual personal shoppers, personalized product description generation, among others). Additionally, they have a RAG chatbot use case whose performance they want to improve and integrate with Zendesk.
We would like to involve the CoE from the beginning in order to properly qualify the opportunity and guide the conversations in the best possible way.","<= $100K",,,"Tier 1 - Incoming Engagement",,"nabila.bouhia@oracle.com, cristina.lemnaru@oracle.com",,,A8D7C8,South,,"June 5th, 2025 at 12:59 PM UTC",WBQAVFJ58,gaelle.escuit@oracle.com,,,,,
